ID	polymer
A0A0K8P6T7	PET
WP_054022242.1	PET
R4YKL9_OLEAN	PET
MBQ0729274.1	PET
A0A1Z2SIQ1_VIBGA	PET
ASA57064.1	PET
A0A0G3BI90_9BURK	PET
AKJ29164.1	PET
OK558825	PET
OK558824	PET
ADK73612	PET
KU695573	PET
ANP21910.1	PET
A0A1H6AD45	PET
WP_088276085.1	PET
N20M5AZM016	PET
2FX5_A	PET
A0A078MGG8	PET
WP_044499735.1	PET
A0A031MKR8	PET
WP_036989706.1	PET
SUD16364.1	PET
P19833	PET
W6R2Y2	PET
WP_003460012.1	PET
MGYP000532440779	PET
WP_085690612	PET
A4W93_05950	PET
WP_085749238.1	PET
RLU00646.1	PET
RLT92980.1	PET
WP_101893509.1	PET
ODU60407.1	PET
WP_062195544.1	PET
Q8RR62	PET
BAB86909.1	PET
A0A1F4JXW8	PET
OGB27210	PET
WP_090538641.1	PET,PUR
MEC8523093.1	PET
QPA27412	PET
WP_220815207	PET
MBX3625601.1	PET
MSQ87502.1	PET
WP_104739856.1	PET
MBX2857432.1	PET
MBE65357.1	PET
KZY99137.1	PET
WP_116813002.1	PET
MBA55398.1	PET
MBX3624429.1	PET
WP_085750434.1	PET
WP_184682765.1	PET
MBX3621832.1	PET
WP_252275389.1	PET
MBT9528079.1	PET
WP_093473685.1	PET
G9BY57	PET,PUR
GBD22443	PET
Q6A0I4	PET
AJ810119	PET
Q6A0I3	PET
E9LVI0_THEFU	PET
ADV92528.1	PET
Q47RJ6_THEFY	PET
Q47RJ7_THEFY	PET
E5BBQ2	PET
E5BBQ3_THEFU	PET,PUR
CBY05530	PET
JN129499.1	PET
AET05798.1	PET
JN129500.1	PET
AET05799.1	PET
WP_104613137.1	PET
ADM47605.1	PET
ADV92526.1	PET
ADV92571	PET
ADV92527.1	PET
WP_083947829.1	PET
D1A9G5	PET,PUR
ACY96861.1	PET,PUR
ACY95991.1	PET,PUR
H6WX58	PET
AFA45122.1	PET
BAI99230	PET
E9LVH7	PET
ADV92525.1	PET
F7IX06	PET
BAK48590.1	PET
W0TJ64	PET
BAO42836.1	PET
WP_082414832.1	PET
WP_117215036.1	PET
EGD44994.1	PET
WP_078759821.1	PET
WP_107095481.1	PET
WP_093412886.1	PET
UNZ22463.1	PET
QEX94755.1	PET
DAC80635	PET
SAY37579.1	PET
SAY37582.1	PET
WAU86704.1	PET
WOR09923	PET
WID88783.1	PET
QDI72884	PET
A0A1W2FU08	PET
WP_143447025.1	PET
WP_218920366.1	PET
WP_209642273.1	PET
WP_019629726.1	PET
WP_116023875.1	PET
MBO9532528.1	PET
WP_018657411.1	PET
MPZ00478.1	PET
WP_203847453.1	PET
SDZ16714.1	PET
WP_091553551.1	PET
WP_124822775.1	PET
WP_101366623.1	PET
WP_110567505.1	PET
WP_084434874.1	PET
WP_116180173.1	PET
WP_130464304.1	PET
WP_073887759.1	PET
WP_088988822.1	PET
CCH19814.1	PET
WP_082377728.1	PET
WP_132386942.1	PET
WP_132337032.1	PET
WP_099848711.1	PET
WP_132413760.1	PET
WP_144126986.1	PET
WP_082403176.1	PET
WP_137976057.1	PET
WP_125191182.1	PET
WP_141984372.1	PET
WP_155388305.1	PET
WP_013736455.1	PET
WP_143590710.1	PET
WP_139584963.1	PET
WP_083950838.1	PET
OKK16161.1	PET
WP_131056699.1	PET
WP_045318561.1	PET
WP_075737041.1	PET
WP_065917710.1	PET
WP_130401777.1	PET
WP_081971423.1	PET
WP_093411427.1	PET
WP_086849962.1	PET
WP_109639600.1	PET
WP_086784246.1	PET
WP_078844206.1	PET
WP_091283529.1	PET
WP_112669767.1	PET
KNX38636.1	PET
WP_083302694.1	PET
WP_093954453.1	PET
WP_089021493.1	PET
TQL66274.1	PET
WP_123685830.1	PET
WP_084400763.1	PET
WP_132183354.1	PET
RZS34008.1	PET
WP_141569747.1	PET
WP_124770494.1	PET
OPG10926.1	PET
WP_051808300.1	PET
WP_111700265.1	PET
WP_084578793.1	PET
WP_104115406.1	PET
SPF04022.1	PET
WP_120326365.1	PET
WP_110080872.1	PET
WP_086668955.1	PET
WP_092528534.1	PET
WP_145923095.1	PET
WP_091450391.1	PET
WP_067035690.1	PET
WP_103564314.1	PET
WP_129849678.1	PET
WP_103939557.1	PET
WP_125313231.1	PET
WP_075975245.1	PET
WP_068752972.1	PET
ACV09511	PET
TDP67440	PET
WP_035284691	PET
WP_130342639	PET
WP_151597653.1	PET
WP_187224800.1	PET
MBT8227529.1	PET
WP_233427406.1	PET
WP_229068674.1	PET
WP_161104454.1	PET
MGYP001489421514	PET
MBN2622270.1	PET
MGYP001121581011	PET
WP_221382552.1	PET
MGYP000271253724	PET
MBJ7347705.1	PET
MGYP000221121644	PET
WP_203733135.1	PET
NUT34383.1	PET
WP_129786244.1	PET
WP_233872418.1	PET
WP_139580723.1	PET
WP_267938240.1	PET
WP_167521412.1	PET
WBC00352.1	PET
WP_210157342.1	PET
MBO4274871.1	PET
WP_232326807.1	PET
GFJ87714.1	PET
WP_158852571.1	PET
WP_182904095.1	PET
WP_031525917.1	PET
GIU85367.1	PET
WP_203777396.1	PET
WP_173061649.1	PET
WP_111214096.1	PET
WP_203790592.1	PET
MBF9135495.1	PET
TWG17167.1	PET
GLI01021.1	PET
WP_204038550.1	PET
WP_181548579.1	PET
GHJ08786.1	PET
WP_084261341.1	PET
WP_265247586.1	PET
UAC02078.1	PET
WP_252811421.1	PET
WP_229836555.1	PET
WP_239135698.1	PET
WP_271190254.1	PET
MBW4703769.1	PET
WP_247684544.1	PET
WP_269740835.1	PET
MCF0091346.1	PET
GGR16917.1	PET
WP_199199185.1	PET
WP_247056560.1	PET
WP_239125827.1	PET
WP_203812622.1	PET
PWR09075.1	PET
WP_203906211.1	PET
WP_144022925.1	PET
WP_091317053.1	PET
MTK05241.1	PET
WP_239086781.1	PET
WP_164449727.1	PET
MGYP001477358452	PET
WP_264933993.1	PET
MGYP000321434903	PET
WP_256510026.1	PET
WP_260709492.1	PET
GGO06455.1	PET
WP_149259982.1	PET
MBN1171866.1	PET
MBO9569276.1	PET
GIG90696.1	PET
WP_086599340.1	PET
WP_019633337.1	PET
WP_109361459.1	PET
WP_211769896.1	PET
WP_150070118.1	PET
MBP2328848.1	PET
WP_260422593.1	PET
WP_252811421.1	PET
WP_218517662.1	PET
WP_256510519.1	PET
WP_233604767.1	PET
WP_239095870.1	PET
WP_253762837.1	PET
WP_212846608.1	PET
GIU85371.1	PET
WP_250563816.1	PET
ADH43200.1	PET
APJ12152.1	PET
MBO2503201.1	PET
SAY37592.1	PET
SAY37583.1	PET
AKZ20828.1	PET
SHM40309.1	PET
WP_108898452.1	PET
CEE00769.1	PET
WP_041846030.1	PET
WP_041847557.1	PET
WP_034767800.1	PET
WP_108898647.1	PET
WP_118011433	PET
RGD93181	PET
WP_013858543.1	PET
WP_111881932	PET
WP_039353427	PET
UNZ81746	PET
UNZ81748	PET
UNZ81747	PET
E8U721	PET
ADV66860	PET
XDS72785.1	PET
ACC95208.1	PET
SAY37584.1	PET
SAY37587.1	PET
SAY37589.1	PET
RLI42440.1	PET
LIPB_PSEA2	PET,PUR
AAA33335.1	PET
X0BTD8	PET
EXK81749	PET
A0A075B5G4	PET
4OYY_A	PET
ESK97883	PET
KAH7127633	PET
KAL2018089	PET
KAL1836386	PET
KU353448	PUR
XCO66867	PUR
AGT90042.1	PUR
AY026386	PUR
ARF18137.1	PUR
BAA76305.1	PUR
AAD22743.1	PUR
AAF01331.1	PUR
AAF66684.1	PUR
AAY92471.1	PUR
AAY92474.2	PUR
AAK28498.1	PUR
CP003218.1	PUR
ACD16728.1	PUR
GU116480	PUR
WBR49956	PUR,PA
WBR49957	PUR,PA
WBR49958	PUR,PA
ANG60415.1	PUR
A0A2I2K6T5	PUR
SIP63154.1	PUR
P20261	PUR
BBP47208	PUR
XP_036664376	PUR
Q12559	PUR
XAQ58225	PUR
NYLA_PSES8	PA
P13397.2	PA
NYLA_FLASK	PA
P13398.2	PA
NYLB_FLASK	PA
P07061.1	PA
NYLC_FLASK	PA
Q79F77.1	PA
Q1EPR5	PA
Q1EPR4	PA
WP_011209364.1	PA
BEG79545	PA
A0A840P940	PA
KQR39103	PA
A0A7W8QII1	PA
BAI44731	PA
WP_185053500	PA
XHH12374	PA
XHH12375	PA
XHH12378	PA
WP_068749367	PA
A0A138ZXG5	PA
A0A1M5P6R3	PA
A0A1Y4BJH4	PA
A0A4R0IDB8	PA
A0A5M3WI68	PA
A0A7W0NYQ1	PA
A0A7X7N2B0	PA
Q73X82	PA
A0A848L028	PA
A0A1M5ZAZ5	PA
A0A1Q3SHB0	PA
A0A225M899	PA
A0A368EC02	PA
A0A522DD61	PA
A0A6A7M915	PA
A0A1Q9YJX4	PA
A0A2T2X6B9	PA
A0A315R6Z8	PA
PWX09261.1	PA
RYL92504.1	PA
A0A7C6SQZ1	PA
A0A7C7DKE8	PA
A0A7X2NQM3	PA
R5FI29	PA
U7UHN3	PA
A0A2E3XQJ6	PA
A0A351YZM4	PA
A0A3D1YDR8	PA
A0A6I1QW75	PA
A0A3D4HM79	PA
A0A3M1X2K7	PA
A0A432H965	PA
A0A661XAJ6	PA
A0A7C3G8G6	PA
A0A7V5VEC1	PA
A0A7V9NEU5	PA
I4C6Z0	PA
